[ 0.1  0. ],[-0.1  0. ],1,0,0.064150963491,0.1,divergent
[ 0.1  0. ],[-0.1  0. ],2,0,0.0714066620627,0.1,divergent
[ 0.1  0. ],[-0.1  0. ],3,0,0.0397522502861,0.1,divergent
[ 0.1  0. ],[-0.1  0. ],4,0,0.0515523746999,0.1,divergent
[ 0.1  0. ],[-0.1  0. ],5,0,0.019993723464,0.1,divergent
[ 0.1  0. ],[-0.1  0. ],6,0,0.0568737908613,0.1,divergent
[ 0.1  0. ],[-0.1  0. ],7,0,0.0298903644682,0.1,divergent
[ 0.1  0. ],[-0.1  0. ],8,0,0.031427716886,0.1,divergent
[ 0.1  0. ],[-0.1  0. ],9,0,0.0430113533587,0.1,divergent
[ 0.1  0. ],[-0.1  0. ],10,0,0.0557997998061,0.1,divergent
[ 0.175  0.   ],[-0.175  0.   ],1,0,0.104768442601,0.175,divergent
[ 0.175  0.   ],[-0.175  0.   ],2,0,0.0868965327585,0.175,divergent
[ 0.175  0.   ],[-0.175  0.   ],3,0,0.0636398758311,0.175,divergent
[ 0.175  0.   ],[-0.175  0.   ],4,0,0.07955342374,0.175,divergent
[ 0.175  0.   ],[-0.175  0.   ],5,0,0.0598173880875,0.175,divergent
[ 0.175  0.   ],[-0.175  0.   ],6,0,0.0773777388336,0.175,divergent
[ 0.175  0.   ],[-0.175  0.   ],7,0,0.090110575259,0.175,divergent
[ 0.175  0.   ],[-0.175  0.   ],8,0,0.0842283773507,0.175,divergent
[ 0.175  0.   ],[-0.175  0.   ],9,0,0.0850522572556,0.175,divergent
[ 0.175  0.   ],[-0.175  0.   ],10,0,0.0852856825593,0.175,divergent
[ 0.25  0.  ],[-0.25  0.  ],1,0,0.112017247651,0.25,divergent
[ 0.25  0.  ],[-0.25  0.  ],2,0,0.0821141377585,0.25,divergent
[ 0.25  0.  ],[-0.25  0.  ],3,0,0.134108778841,0.25,divergent
[ 0.25  0.  ],[-0.25  0.  ],4,0,0.112289338805,0.25,divergent
[ 0.25  0.  ],[-0.25  0.  ],5,0,0.0902037383839,0.25,divergent
[ 0.25  0.  ],[-0.25  0.  ],6,0,0.100401934124,0.25,divergent
[ 0.25  0.  ],[-0.25  0.  ],7,0,0.0897939633062,0.25,divergent
[ 0.25  0.  ],[-0.25  0.  ],8,0,0.108890448097,0.25,divergent
[ 0.25  0.  ],[-0.25  0.  ],9,0,0.116830775813,0.25,divergent
[ 0.25  0.  ],[-0.25  0.  ],10,0,0.105097829559,0.25,divergent
[ 0.325  0.   ],[-0.325  0.   ],1,0,0.100688305932,0.325,divergent
[ 0.325  0.   ],[-0.325  0.   ],2,0,0.131552880767,0.325,divergent
[ 0.325  0.   ],[-0.325  0.   ],3,0,0.0995304937871,0.325,divergent
[ 0.325  0.   ],[-0.325  0.   ],4,0,0.133611254579,0.325,divergent
[ 0.325  0.   ],[-0.325  0.   ],5,0,0.115472412687,0.325,divergent
