StudyID,TraitNo,Cross_ID,Sex,parents_different_stats,max_SD_diff,min_SD_diff,parents_different_stats_and_SD
Vedenina_2007,10,B,NA,TRUE,6.472523920689279,5.566337509917116,TRUE
Vedenina_2007,11,A,NA,TRUE,12.783561408076539,7.521965994837946,TRUE
Vedenina_2007,11,B,NA,TRUE,5.189102389057986,3.8924018744925974,TRUE
Oh_2012,1,A,M,TRUE,22.589738739000424,13.691449240782555,TRUE
Oh_2012,2,A,F,TRUE,11.792695585528032,7.079877205616807,TRUE
Shaw_1996,1,B,M,TRUE,115.20000000000002,7.6800000000000015,TRUE
Shaw_1996,2,B,M,TRUE,37.67088607594937,22.545454545454543,TRUE
Shaw_1996,3,B,M,TRUE,0.959798994974878,0.7764227642276452,TRUE
Shaw_1996,4,B,M,FALSE,0.3174603174603187,0.3090507726269328,FALSE
Shaw_1996,1,A,M,TRUE,80.8,9.28735632183908,TRUE
Shaw_1996,2,A,M,TRUE,35.3974358974359,20.916666666666668,TRUE
Shaw_1996,3,A,M,TRUE,0.660944206008587,0.6260162601626049,TRUE
Shaw_1996,4,A,M,TRUE,2.666666666666669,0.3628117913832203,TRUE
HAYES_1987,1,A,NA,TRUE,5.240384615384615,2.5172471736667683,TRUE
Merrill_2013,1,A,NA,TRUE,Inf,2.0999364571383676,TRUE
Ippolito_2004,1,A,NA,FALSE,0.32444284226152514,0.074535599249993,FALSE
Ippolito_2004,2,A,NA,TRUE,0.8111071056538126,0.7453559924999298,TRUE
Ippolito_2004,3,A,NA,TRUE,0.5962847939999436,0.43259045634869997,TRUE
Ippolito_2004,4,A,NA,TRUE,2.6454570215170508,2.2573638629997874,TRUE
Ippolito_2004,5,A,NA,TRUE,2.4008770327352864,2.363843290499778,TRUE
David_2002,1,A,NA,TRUE,8.707243696227518,7.783942439096716,TRUE
David_2002,1,B,NA,TRUE,8.384427851752003,7.495357435680022,TRUE
David_2002,1,C,NA,TRUE,8.80737872468308,7.945222621173062,TRUE
David_2002,1,D,NA,TRUE,6.072012312753869,3.7393898061772455,TRUE
David_2002,1,E,NA,TRUE,5.984171266638086,5.349619961295983,TRUE
David_2002,1,F,NA,TRUE,3.1425134247923276,2.750143788736466,TRUE
David_2002,1,G,NA,FALSE,0.21521056298368538,0.20103674395321075,FALSE
David_2002,1,H,NA,FALSE,0.3118357137110458,0.2729003619850277,FALSE
David_2002,1,I,NA,FALSE,0.39967675982683537,0.35729571851591346,FALSE
David_2002,2,A,NA,TRUE,3.169690726303045,2.4400290587718976,TRUE
David_2002,2,B,NA,TRUE,2.2410981311253093,1.9168868285712068,TRUE
David_2002,2,C,NA,TRUE,2.4556227994814988,2.1003770137908533,TRUE
David_2002,2,D,NA,TRUE,0.722248601396485,0.6622789094016744,TRUE
David_2002,2,E,NA,TRUE,0.9630788302799231,0.8237538102413979,TRUE
David_2002,2,F,NA,TRUE,1.6914961334718317,1.229774645621033,TRUE
