studycross,sp 1,sp 2,estimated_time_timetree,
PASDAR_1984 A,Lepomis cyanellus,Lepomis microlophus,14.65,
Pfennig_2007 A,Spea multiplicata,Spea bombifrons,18.9,
Piwczynski_2013 A,Vaccinium myrtillus,Vaccinium vitis-idaea,14.2,
Plath_2008 A,Cyprinodon beltrani,Cyprinodon simus,NA,
Punzalan_2017 A,Phymata pennsylvanica,Phymata americana,NA,
Roriz_2017 A,Anastrepha sp1,Anastrepha sp3,NA,
ROSS_1981 A,Semotilus atromaculatus,Campostoma anomalum,35,
ROSS_1981 B,Semotilus atromaculatus,Clinostomus elongatus,47,
ROSS_1981 C,Semotilus atromaculatus,Nocomis biguttatus,35,
ROSS_1981 D,Semotilus atromaculatus,Rhinichthys atratulus,40,
Ruhsam_2011 A,Geum urbanum,Geum rivale,12.9,
Saldamando_2005 A,Chorthippus brunneus,Chorthippus jacobsi,NA,
Sano_2016 A,Plantago asiatica,Plantago hakusanensis,NA,
Sasabe_2007 A,Ohomopterus iwawakianus,Ohomopterus maiyasanus,NA,considered the same (Carabus)
SCRIBNER_1993 A,Gambusia affinis,Gambusia holbrooki,NA,
Selz_2014a A,Pundamilia pundamilia,Paralabidochromis sp-rockkribensis,NA,
Selz_2014a B,Astatotilapia calliptera,Pundamilia nyererei,NA,
Selz_2014a C,Astatotilapia calliptera,Protomelas taeniolatus,NA,
Selz_2014b A,Astatotilapia taeniolatus,Astatotilapia calliptera,NA,
Selz_2014b B,Astatotilapia calliptera,Astatotilapia tweddlei,NA,
Selz_2014b C,Astatotilapia calliptera,Astatotilapia burtoni,NA,
Selz_2014b D,Astatotilapia burtoni,Astatotilapia tweddlei,NA,
Shaw_1996 A,Laupala paranigra,Laupala kohalensis,NA,
Shaw_1996 B,Laupala paranigra,Laupala kohalensis,NA,
Smith_2002 A,Danaus chrysippus,Danaus gilippus,NA,
Soto_2010 A,Drosophila gouveai,Drosophila antonietae,NA,considered the same
Soto_2010 B,Drosophila gouveai,Drosophila antonietae,NA,considered the same
Stahlberg_2009 A,Dactylorhiza fuchsii,Dactylorhiza maculata,2.942,
Vedenina_2007 A,Chorthippus albomarginatus,Chorthippus oschei,NA,
Vedenina_2007 B,Chorthippus albomarginatus,Chorthippus oschei,NA,
Veen_2007 A,Ficedula albicollis,Ficedula hypoleuca,2.28,
Vereecken_2010 A,Ophrys arachnitiformis,Ophrys lupercalis,NA,
Vinsalkova_2007 A,Triturus carnifex,Triturus dobrogicus,9.4,
Vitova_2015 A,Dianthus carthusianorum,Dianthus arenarius,NA,
WARWICK_1990 A,Carduus nutans,Carduus acanthoides,NA,
Wendt_2000 A,Pitcairnia corcovadensis,Pitcairnia flammea,NA,
Wessinger_2014 A,Penstemon neomexicanus,Penstemon barbatus,NA,
Westerbergh_2002 A,Zea diploperennis,Zea mays,NA,
WHITE_1973 A,Magicicada septendecim,Magicicada cassini,3.89,
Wilkens_1971 A,Anoptichthys hubbsi,Anoptichthys antrobius,NA,
Wilkens_1971 B,Anoptichthys hubbsi,Anoptichthys antrobius,NA,
Wilson_2009 A,Penstemon centranthifolius,Penstemon spectabilis,NA,
Woods_2009 A,Coregonus suidteri,Coregonus zugensis,NA,
Woods_2009 B,Coregonus suidteri,Coregonus palaea,NA,
Woods_2009 C,Coregonus zugensis,Coregonus palaea,NA,
Wu_1997 A,Populus trichocarpa,Populus deltoides,16.9,
Xue_2009 A,Altica fragariae,Altica viridicyanea,NA,
Yamashita_2014 A,Platichthys stellatus,Kareius bicoloratus,NA,
