"","StudyCross","first","second","GenDist","PA","StudyID","parents.space","Cross_ID","ParentID","Species_or_CrossType"
"39","Wilson_2009_A","Penstemon spectabilis","Penstemon centranthifolius",0.0158333333333333,"Plant","Wilson_2009","Penstemon centranthifolius","A","A","Penstemon centranthifolius"
"40","Wilson_2009_A","Penstemon spectabilis","Penstemon centranthifolius",0.0158333333333333,"Plant","Wilson_2009","Penstemon spectabilis","A","B","Penstemon spectabilis"
"41","Wu_2006_A","Ipomopsis tenuituba","Ipomopsis aggregata",0.00523731587561375,"Plant","Wu_2006","Ipomopsis aggregata","A","A","Ipomopsis aggregata"
"42","Wu_2006_A","Ipomopsis tenuituba","Ipomopsis aggregata",0.00523731587561375,"Plant","Wu_2006","Ipomopsis tenuituba","A","B","Ipomopsis tenuituba"
"43","Albertson_2003_A","Metriaclima zebra","Labeotropheus fuelleborni",0.00175901495162709,"Animal","Albertson_2003","Labeotropheus fuelleborni","A","A","Labeotropheus fuelleborni"
"44","Albertson_2003_A","Metriaclima zebra","Labeotropheus fuelleborni",0.00175901495162709,"Animal","Albertson_2003","Metriaclima zebra","A","B","Metriaclima zebra"
"45","Albertson_2005_A","Metriaclima zebra","Labeotropheus fuelleborni",0.00175901495162709,"Animal","Albertson_2005","Labeotropheus fuelleborni","A","A","Labeotropheus fuelleborni"
"46","Albertson_2005_A","Metriaclima zebra","Labeotropheus fuelleborni",0.00175901495162709,"Animal","Albertson_2005","Metriaclima zebra","A","B","Metriaclima zebra"
"47","Blankers_2015_A","Gryllus texensis","Gryllus rubens",0.0111935683364255,"Animal","Blankers_2015","Gryllus rubens","A","A","Gryllus rubens"
"48","Blankers_2015_A","Gryllus texensis","Gryllus rubens",0.0111935683364255,"Animal","Blankers_2015","Gryllus texensis","A","B","Gryllus texensis"
"49","David_2002_A","Drosophila simulans","Drosophila melanogaster",0.589608873321658,"Animal","David_2002","Drosophila melanogaster Cognac","A","A","Drosophila melanogaster"
"50","David_2002_A","Drosophila simulans","Drosophila melanogaster",0.589608873321658,"Animal","David_2002","Drosophila simulans","A","B","Drosophila simulans"
"51","David_2002_B","Drosophila simulans","Drosophila melanogaster",0.590909090909091,"Animal","David_2002","Drosophila melanogaster Bordeaux","B","A","Drosophila melanogaster"
"52","David_2002_B","Drosophila simulans","Drosophila melanogaster",0.590909090909091,"Animal","David_2002","Drosophila simulans","B","B","Drosophila simulans"
"53","David_2002_C","Drosophila simulans","Drosophila melanogaster",0.590192644483362,"Animal","David_2002","Drosophila melanogaster Sescas","C","A","Drosophila melanogaster"
"54","David_2002_C","Drosophila simulans","Drosophila melanogaster",0.590192644483362,"Animal","David_2002","Drosophila simulans","C","B","Drosophila simulans"
"55","David_2002_D","Drosophila simulans","Drosophila melanogaster",0.591491841491841,"Animal","David_2002","Drosophila melanogaster Delhi","D","A","Drosophila melanogaster"
"56","David_2002_D","Drosophila simulans","Drosophila melanogaster",0.591491841491841,"Animal","David_2002","Drosophila simulans","D","B","Drosophila simulans"
"57","David_2002_E","Drosophila simulans","Drosophila melanogaster",0.589608873321658,"Animal","David_2002","Drosophila melanogaster Ghergebil","E","A","Drosophila melanogaster"
"58","David_2002_E","Drosophila simulans","Drosophila melanogaster",0.589608873321658,"Animal","David_2002","Drosophila simulans","E","B","Drosophila simulans"
"59","David_2002_F","Drosophila simulans","Drosophila melanogaster",0.590909090909091,"Animal","David_2002","Drosophila melanogaster Kronenbourg","F","A","Drosophila melanogaster"
"60","David_2002_F","Drosophila simulans","Drosophila melanogaster",0.590909090909091,"Animal","David_2002","Drosophila simulans","F","B","Drosophila simulans"
"61","David_2002_G","Drosophila simulans","Drosophila melanogaster",0.591491841491841,"Animal","David_2002","Drosophila melanogaster Martinique","G","A","Drosophila melanogaster"
"62","David_2002_G","Drosophila simulans","Drosophila melanogaster",0.591491841491841,"Animal","David_2002","Drosophila simulans","G","B","Drosophila simulans"
"63","David_2002_H","Drosophila simulans","Drosophila melanogaster",0.589608873321658,"Animal","David_2002","Drosophila melanogaster StMarteen","H","A","Drosophila melanogaster"
"64","David_2002_H","Drosophila simulans","Drosophila melanogaster",0.589608873321658,"Animal","David_2002","Drosophila simulans","H","B","Drosophila simulans"
"65","David_2002_I","Drosophila simulans","Drosophila melanogaster",0.590909090909091,"Animal","David_2002","Drosophila melanogaster Guadeloupe","I","A","Drosophila melanogaster"
"66","David_2002_I","Drosophila simulans","Drosophila melanogaster",0.590909090909091,"Animal","David_2002","Drosophila simulans","I","B","Drosophila simulans"
"67","Finck_2017_A","Chorthippus mollis","Chorthippus biguttulus",0.087378640776699,"Animal","Finck_2017","Chorthippus biguttulus","A","A","Chorthippus biguttulus"
"68","Finck_2017_A","Chorthippus mollis","Chorthippus biguttulus",0.087378640776699,"Animal","Finck_2017","Chorthippus mollis","A","B","Chorthippus mollis"
"69","FRITZ_1974_A","Fundulus heteroclitus","Fundulus diaphanus",0.312158266229247,"Animal","FRITZ_1974","Fundulus diaphanus","A","A","Fundulus diaphanus"
"70","FRITZ_1974_A","Fundulus heteroclitus","Fundulus diaphanus",0.312158266229247,"Animal","FRITZ_1974","Fundulus heteroclitus","A","B","Fundulus heteroclitus"
"71","Grant_1994_B","Geospiza scandens","Geospiza fortis",0.0796331040233479,"Animal","Grant_1994","Geospiza fortis","B","A","Geospiza fortis"
"72","Grant_1994_B","Geospiza scandens","Geospiza fortis",0.0796331040233479,"Animal","Grant_1994","Geospiza scandens","B","B","Geospiza scandens"
"73","Grosch_2003_A","Phoenicurus phoenicurus","Phoenicurus ochruros",0.0773405698778833,"Animal","Grosch_2003","Phoenicurus ochruros","A","A","Phoenicurus ochruros"
"74","Grosch_2003_A","Phoenicurus phoenicurus","Phoenicurus ochruros",0.0773405698778833,"Animal","Grosch_2003","Phoenicurus phoenicurus","A","B","Phoenicurus phoenicurus"
