studycross,sp 1,sp 2
SCRIBNER_1993 A,Gambusia affinis,Gambusia holbrooki
Selz_2014a A,Pundamilia pundamilia,Paralabidochromis sp-rockkribensis
Selz_2014a B,Astatotilapia calliptera,Pundamilia nyererei
Selz_2014a C,Astatotilapia calliptera,Protomelas taeniolatus
Selz_2014b A,Astatotilapia taeniolatus,Astatotilapia calliptera
Selz_2014b B,Astatotilapia calliptera,Astatotilapia tweddlei
Selz_2014b C,Astatotilapia calliptera,Astatotilapia burtoni
Selz_2014b D,Astatotilapia burtoni,Astatotilapia tweddlei
Shaw_1996 A,Laupala paranigra,Laupala kohalensis
Shaw_1996 B,Laupala paranigra,Laupala kohalensis
Smith_2002 A,Danaus chrysippus,Danaus gilippus
Soto_2010 A,Drosophila gouveai,Drosophila antonietae
Soto_2010 B,Drosophila gouveai,Drosophila antonietae
Stahlberg_2009 A,Dactylorhiza fuchsii,Dactylorhiza maculata
Vedenina_2007 A,Chorthippus albomarginatus,Chorthippus oschei
Vedenina_2007 B,Chorthippus albomarginatus,Chorthippus oschei
Veen_2007 A,Ficedula albicollis,Ficedula hypoleuca
Vereecken_2010 A,Ophrys arachnitiformis,Ophrys lupercalis
Vinsalkova_2007 A,Triturus carnifex,Triturus dobrogicus
Vitova_2015 A,Dianthus carthusianorum,Dianthus arenarius
WARWICK_1990 A,Carduus nutans,Carduus acanthoides
Wendt_2000 A,Pitcairnia corcovadensis,Pitcairnia flammea
Wessinger_2014 A,Penstemon neomexicanus,Penstemon barbatus
Westerbergh_2002 A,Zea diploperennis,Zea mays
WHITE_1973 A,Magicicada septendecim,Magicicada cassini
Wilkens_1971 A,Anoptichthys hubbsi,Anoptichthys antrobius
Wilkens_1971 B,Anoptichthys hubbsi,Anoptichthys antrobius
Wilson_2009 A,Penstemon centranthifolius,Penstemon spectabilis
Woods_2009 A,Coregonus suidteri,Coregonus zugensis
Woods_2009 B,Coregonus suidteri,Coregonus palaea
Woods_2009 C,Coregonus zugensis,Coregonus palaea
Wu_1997 A,Populus trichocarpa,Populus deltoides
Xue_2009 A,Altica fragariae,Altica viridicyanea
Yamashita_2014 A,Platichthys stellatus,Kareius bicoloratus
