studycross,sp 1,sp 2,intra_inter
Johnston_2004 A,Iris brevicaulis,Iris fulva,inter
Katoh_1996 A,Viviparus ater,Viviparus contectus,inter
Keena_2007 A,Lymantria dispar,Lymantria dispar,intra
Keese_1996 A,Ophraella slobodkini,Ophraella notulata,inter
Keller_2016 A,Primula elatior,Primula vulgaris,inter
Kimball_2009 A,Penstemon newberryi,Penstemon davidsonii,inter
Knowlton_2014 A,Himatione sanguinea,Vestiaria coccinea,inter
Koelling_2010 A,Leavenworthia alabamica,Leavenworthia crassa,inter
Kohn_2001 A,Saguinus fuscicollis,Saguinus fuscicollis,intra
Kohn_2001 B,Saguinus fuscicollis,Saguinus fuscicollis,intra
Kokita_2017 A,Leucopsarion petersii,Leucopsarion petersii,intra
Konuma_2013 A,Damaster blaptoides,Damaster blaptoides,intra
Kronforst_2006 A,Heliconius pachinus,Heliconius cydno,inter
Lair_1997 A,Wyeomyia smithii,Wyeomyia smithii,intra
Lair_1997 B,Wyeomyia smithii,Wyeomyia smithii,intra
Lair_1997 C,Wyeomyia smithii,Wyeomyia smithii,intra
Lair_1997 D,Wyeomyia smithii,Wyeomyia smithii,intra
Lair_1997 E,Wyeomyia smithii,Wyeomyia smithii,intra
Lair_1997 F,Wyeomyia smithii,Wyeomyia smithii,intra
Lair_1997 G,Wyeomyia smithii,Wyeomyia smithii,intra
LAMB_1987 A,Hyla cinerea,Hyla gratiosa,inter
Larcombe_2016 A,Eucalyptus globulus,Eucalyptus nitens,inter
LARGIADER_1994 A,Gerris costae,Gerris costae,intra
Laugen_2002 A,Rana temporaria,Rana temporaria,intra
LEGNER_1987 A,Muscidifurax raptorellus,Muscidifurax raptorellus,intra
Lehmann_2016 A,Leptinotarsa decemlineata,Leptinotarsa decemlineata,intra
Lehtinen_2016 A,Plethodon cinereus,Plethodon electromorphus,inter
Leinonen_2011 A,Arabidopsis lyrata,Arabidopsis lyrata,intra
Lemmon_2010 A,Pseudacris feriarum,Pseudacris nigrita,inter
Leotard_2008 A,Leonardoxa africana,Leonardoxa africana,intra
LEWIS_1959 A,Delphinium recurvatum,Delphinium hesperium,inter
Liu_2013 A,Potamogeton wrightii,Potamogeton perfoliatus,inter
Loveless_2010 A,Poecilia mexicana,Poecilia velifera,inter
Lowry_2010 A,Mimulus guttatus,Mimulus guttatus,intra
Machado-Schiaffino_2014 A,Amphilophus labiatus,Amphilophus citrinellus,inter
MACNAIR_1989 A,Mimulus guttatus,Mimulus cupriphilus,inter
Martin_2007a A,Mimulus nasutus,Mimulus guttatus,inter
Matsubayashi_2009 A,Henosepilachna vigintioctomaculata,Henosepilachna pustulosa,inter
McBride_2010 A,Euphydryas editha,Euphydryas editha,intra
MCPHAIL_1992 A,Gasterosteus aculeatus,Gasterosteus aculeatus,intra
Merot_2015 A,Heliconius melpomene,Heliconius timareta,inter
Merrill_2013 A,Heliconius melpomene,Heliconius cydno,inter
Mione_2017 A,Jaltomata procumbens,Jaltomata procumbens,intra
Mirzaie-Nodoushan_1999 A,Trifolium pratense,Trifolium pratense,intra
Moccia_2007 A,Anacamptis morio,Anacamptis papilionacea,inter
Monti_1997 A,Spodoptera latifascia,Spodoptera descoinsi,inter
Naisbit_2001 A,Heliconius melpomene,Heliconius cydno,inter
Nakazato_2013 A,Ipomopsis tenuifolia,Ipomopsis guttata,inter
Ng_2013 A,Anolis distichus,Anolis distichus,intra
Noh_2015 A,Chrysoperla agilis,Chrysoperla carnea,inter
Nygren_2006 A,Polygonia c-album,Polygonia c-album,intra
Nygren_2006 B,Polygonia c-album,Polygonia c-album,intra
Nygren_2006 C,Polygonia c-album,Polygonia c-album,intra
Nygren_2006 D,Polygonia c-album,Polygonia c-album,intra
Nygren_2006 E,Polygonia c-album,Polygonia c-album,intra
O'Quin_2012 A,Metriaclima zebra,Metriaclima mbenjii,inter
Oh_2012 A,Laupala cerasina,Laupala eukolea,inter
Orr_1994 A,Melanoplus devastator,Melanoplus sanguinipes,inter
Park_2003 A,Pleuronectes ferrugineus,Pleuronectes americanus,inter
Parsons_1997 A,Bembicium vittatum,Bembicium vittatum,intra
Parsons_1997 B,Bembicium vittatum,Bembicium vittatum,intra
PASDAR_1984 A,Lepomis cyanellus,Lepomis microlophus,inter
Pelabon_2004 A,Dalechampia scandens,Dalechampia scandens,intra
Pfennig_2007 A,Spea multiplicata,Spea bombifrons,inter
Piche_2008 A,Salmo salar,Salmo salar,intra
Piche_2008 B,Salmo salar,Salmo salar,intra
Piwczynski_2013 A,Vaccinium myrtillus,Vaccinium vitis-idaea,inter
Plath_2008 A,Cyprinodon beltrani,Cyprinodon simus,inter
Pritchard_2013 A,Tigriopus californicus,Tigriopus californicus,intra
Pritchard_2013 B,Tigriopus californicus,Tigriopus californicus,intra
Punzalan_2017 A,Phymata pennsylvanica,Phymata americana,inter
Raeymaekers_2009 A,Gasterosteus aculeatus,Gasterosteus aculeatus,intra
RHYMER_1992 A,Anas platyrhynchos,Anas platyrhynchos,intra
Rogers_2002 A,Coregonus clupeaformis,Coregonus clupeaformis,intra
Roriz_2017 A,Anastrepha sp1,Anastrepha sp3,inter
ROSS_1981 A,Semotilus atromaculatus,Campostoma anomalum,inter
ROSS_1981 B,Semotilus atromaculatus,Clinostomus elongatus,inter
ROSS_1981 C,Semotilus atromaculatus,Nocomis biguttatus,inter
ROSS_1981 D,Semotilus atromaculatus,Rhinichthys atratulus,inter
Rouleau_2010 A,Salvelinus fontinalis,Salvelinus fontinalis,intra
Ruhsam_2011 A,Geum urbanum,Geum rivale,inter
Saldamando_2005 A,Chorthippus brunneus,Chorthippus jacobsi,inter
Sano_2016 A,Plantago asiatica,Plantago hakusanensis,inter
Sasabe_2007 A,Ohomopterus iwawakianus,Ohomopterus maiyasanus,inter
Schluter_2004 A,Gasterosteus aculeatus,Gasterosteus aculeatus,intra
Schluter_2004 B,Gasterosteus aculeatus,Gasterosteus aculeatus,intra
Schluter_2004 C,Gasterosteus aculeatus,Gasterosteus aculeatus,intra
SCRIBNER_1993 A,Gambusia affinis,Gambusia holbrooki,inter
Selz_2014a A,Pundamilia pundamilia,Paralabidochromis sp-rockkribensis,inter
Selz_2014a B,Astatotilapia calliptera,Pundamilia nyererei,inter
Selz_2014a C,Astatotilapia calliptera,Protomelas taeniolatus,inter
Selz_2014b A,Astatotilapia taeniolatus,Astatotilapia calliptera,inter
Selz_2014b B,Astatotilapia calliptera,Astatotilapia tweddlei,inter
Selz_2014b C,Astatotilapia calliptera,Astatotilapia burtoni,inter
Selz_2014b D,Astatotilapia burtoni,Astatotilapia tweddlei,inter
Shaw_1996 A,Laupala paranigra,Laupala kohalensis,inter
Shaw_1996 B,Laupala paranigra,Laupala kohalensis,inter
Shore_1990 A,Turnera ulmifolia,Turnera ulmifolia,intra
Skrede_2008 A,Draba nivalis,Draba nivalis,intra
Smith_2002 A,Danaus chrysippus,Danaus gilippus,inter
Soto_2010 A,Drosophila gouveai,Drosophila antonietae,inter
Soto_2010 B,Drosophila gouveai,Drosophila antonietae,inter
Soudi_2016 A,Lochmaea capreae,Lochmaea capreae,intra
Stacy_2016 A,Metrosideros polymorpha,Metrosideros polymorpha,intra
Stahlberg_2009 A,Dactylorhiza fuchsii,Dactylorhiza maculata,inter
STANHOPE_1992 A,Eogammarus confervicolus,Eogammarus confervicolus,intra
STANHOPE_1992 B,Eogammarus confervicolus,Eogammarus confervicolus,intra
STANHOPE_1992 C,Eogammarus confervicolus,Eogammarus confervicolus,intra
Stankowski_2015 A,Mimulus aurantiacus,Mimulus aurantiacus,intra
Svensson_2017 A,Pundamilia sp,Pundamilia sp,intra
Szucs_2012 A,Longitarsus jacobaeae,Longitarsus jacobaeae,intra
TARPLEY_1993 A,Diatraea grandiosella,Diatraea grandiosella,intra
Tieleman_2009 A,Saxicola torquata,Saxicola torquata,intra
Tieleman_2009 B,Saxicola torquata,Saxicola torquata,intra
Tsuchiya_2012 A,Carabus tosanus,Carabus tosanus,intra
Vallejo-Marin_2017 A,Mimulus peregrinus,Mimulus peregrinus,intra
Vamosi_2002 A,Gasterosteus aculeatus,Gasterosteus aculeatus,intra
Vedenina_2007 A,Chorthippus albomarginatus,Chorthippus oschei,inter
Vedenina_2007 B,Chorthippus albomarginatus,Chorthippus oschei,inter
Veen_2007 A,Ficedula albicollis,Ficedula hypoleuca,inter
Vereecken_2010 A,Ophrys arachnitiformis,Ophrys lupercalis,inter
Vinsalkova_2007 A,Triturus carnifex,Triturus dobrogicus,inter
Vitova_2015 A,Dianthus carthusianorum,Dianthus arenarius,inter
Volis_2016 A,Triticum dicoccoides,Triticum dicoccoides,intra
Volis_2016 B,Triticum dicoccoides,Triticum dicoccoides,intra
Volis_2016 C,Triticum dicoccoides,Triticum dicoccoides,intra
Volis_2016 D,Triticum dicoccoides,Triticum dicoccoides,intra
Volis_2016 E,Triticum dicoccoides,Triticum dicoccoides,intra
Volis_2016 F,Triticum dicoccoides,Triticum dicoccoides,intra
WARWICK_1990 A,Carduus nutans,Carduus acanthoides,inter
Wendt_2000 A,Pitcairnia corcovadensis,Pitcairnia flammea,inter
Wessinger_2014 A,Penstemon neomexicanus,Penstemon barbatus,inter
Westerbergh_2002 A,Zea diploperennis,Zea mays,inter
WHITE_1973 A,Magicicada septendecim,Magicicada cassini,inter
Wilkens_1971 A,Anoptichthys hubbsi,Anoptichthys antrobius,inter
Wilkens_1971 B,Anoptichthys hubbsi,Anoptichthys antrobius,inter
Wilson_2009 A,Penstemon centranthifolius,Penstemon spectabilis,inter
Wood_1996 A,Oncorhynchus nerka,Oncorhynchus nerka,intra
Woods_2009 A,Coregonus suidteri,Coregonus zugensis,inter
Woods_2009 B,Coregonus suidteri,Coregonus palaea,inter
Woods_2009 C,Coregonus zugensis,Coregonus palaea,inter
Wu_1997 A,Populus trichocarpa,Populus deltoides,inter
Xue_2009 A,Altica fragariae,Altica viridicyanea,inter
Yamashita_2014 A,Platichthys stellatus,Kareius bicoloratus,inter
Yorkston_2006 A,Sida fallax,Sida fallax,intra
Yoshizawa_2012 A,Astyanax mexicanus,Astyanax mexicanus,intra
Yoshizawa_2012 B,Astyanax mexicanus,Astyanax mexicanus,intra
Yukilevich_2016 A,Drosophila athabasca,Drosophila athabasca,intra
Zakas_2014 A,Streblospio benedicti,Streblospio benedicti,intra
